#Supplementary Table S2. Response of gene expression 48hr after induction of transcription factors in mouse ES cells
#All gene expression changes here are significant (FDR<=0.05 and fold change>1.5).
#Logratio is for average of Cy3/Cy5 (or Dox- vs Dox+ )
#Fold Change is logratio converted (i.e., 10**(logratio))

Transcription factor	Gene_symbol	Logratio(log10)	Fold change
Cdx2	Tec	0.213	1.633
Dmrt1	Tec	0.2466	1.764
Elf1	Tec	0.3182	2.08
Esx1	Tec	0.5012	3.171
Foxa1	Tec	0.2029	1.595
Foxg1	Tec	0.2161	1.644
Hnf4a	Tec	0.5075	3.217
Klf4	Tec	-0.3893	0.408
Nkx2-5	Tec	0.2203	1.66
Nrip1	Tec	0.4003	2.513
Smad7	Tec	0.2237	1.673
Cdx2	Tecta	0.3924	2.468
Dlx3	Tecta	0.3814	2.406
Foxg1	Tef	0.2634	1.834
Myc	Tef	0.2364	1.723
Mycn	Tef	0.3585	2.282
Tgif1	Tef	0.183	1.524
Gata2	Tegt	0.1948	1.566
Ascl2	Tek	0.2159	1.643
Cdx2	Tek	-0.6778	0.2099
Dlx3	Tek	-0.4229	0.3776
Dmrt1	Tek	0.3138	2.059
Elf5	Tek	-0.2507	0.5614
Eomes	Tek	-0.3259	0.4721
Esx1	Tek	-0.3208	0.4777
Foxc1	Tek	-0.1905	0.6449
Foxg1	Tek	-0.4857	0.3268
Foxl2	Tek	0.4537	2.842
Gata2	Tek	-0.7109	0.1945
Gata3	Tek	-0.6246	0.2373
Hnf4a	Tek	-0.3911	0.4063
Klf3	Tek	0.328	2.128
Klf4	Tek	-0.2594	0.5503
Nanog	Tek	-0.1905	0.6449
Nkx2-5	Tek	-0.4211	0.3792
Nrip1	Tek	0.2315	1.704
Sall4	Tek	-0.2688	0.5385
Sfpi1	Tek	-0.342	0.4549
Sox7	Tek	-0.2368	0.5796
Tbx5	Tek	-0.3031	0.4976
Tcfap2c	Tek	-0.195	0.6382
Bcl6	Tekt1	-0.2018	0.6283
Cdx2	Tekt1	-0.353	0.4436
Dmrt1	Tekt1	-0.4338	0.3682
Elf5	Tekt1	-0.1849	0.6532
Ets1	Tekt1	-0.3743	0.4223
Etv3	Tekt1	0.2118	1.628
Foxg1	Tekt1	-0.535	0.2917
Gata2	Tekt1	-0.2739	0.5322
Gbx2	Tekt1	0.322	2.098
Jun	Tekt1	-0.4217	0.3787
Nr2f2	Tekt1	0.1789	1.509
Nrip1	Tekt1	-0.4362	0.3662
Sfpi1	Tekt1	-0.341	0.456
Tcf3	Tekt1	-0.4839	0.3281
Tcfap2c	Tekt1	0.2201	1.659
Zic1	Tekt1	-0.219	0.6039
Zscan4c	Tekt1	-0.4073	0.3914
Cdx2	Tekt2	0.2482	1.77
Dlx3	Tekt2	0.2916	1.957
Dmrt1	Tekt2	0.5692	3.708
Elf1	Tekt2	-0.4788	0.332
Foxg1	Tekt2	-0.2076	0.62
Foxl2	Tekt2	0.2328	1.709
Foxp3	Tekt2	-0.1882	0.6483
Lhx2	Tekt2	0.2345	1.715
Rxra	Tekt2	0.189	1.545
Sox11	Tekt2	0.2596	1.818
Sox2	Tekt2	-0.4872	0.3256
Tgif1	Tekt2	-0.2076	0.62
Zscan4c	Tekt2	-0.2075	0.6201
Dmrt1	Tekt4	-0.182	0.6576
Sox9	Telo2	-0.1766	0.6658
Esx1	Tenc1	0.3635	2.309
Ets1	Tenc1	0.2232	1.671
Foxa1	Tenc1	-0.2709	0.5359
Myc	Tenc1	0.2223	1.668
Nkx2-5	Tenc1	0.379	2.393
Nr2f2	Tenc1	-0.179	0.6622
Sox11	Tenc1	-0.2149	0.6096
Sox2	Tenc1	-0.2031	0.6264
Tcf3	Tenc1	0.3433	2.204
Klf3	Tep1	-0.3213	0.4771
Klf4	Tep1	0.1877	1.54
Cdx2	Tera	-0.2874	0.5159
Dlx3	Tera	-0.3065	0.4937
Dmrt1	Tera	-0.2951	0.5068
Eomes	Tera	-0.1967	0.6357
Esx1	Tera	-0.5925	0.2555
Foxa1	Tera	-0.2151	0.6093
Gata2	Tera	-0.6092	0.2459
Gata3	Tera	-0.4263	0.3747
Gbx2	Tera	-0.2956	0.5062
Jun	Tera	-0.2066	0.6214
Klf4	Tera	-0.5673	0.2708
Msc	Tera	0.2232	1.671
Nkx2-5	Tera	-0.5639	0.2729
Nr5a2	Tera	0.2137	1.635
Tcf3	Tera	-0.228	0.5915
Dmrt1	Terc	-0.3421	0.4548
Elf1	Terc	0.2022	1.592
Esx1	Terc	-0.2331	0.5846
Foxa1	Terc	-0.2215	0.6004
Foxg1	Terc	-0.2343	0.583
Foxl2	Terc	-0.3019	0.4989
Gata2	Terc	-0.3281	0.4697
Jun	Terc	-0.2241	0.5968
Nrip1	Terc	-0.2755	0.5302
Tcea3	Terc	0.2523	1.787
Tcf3	Terc	-0.2041	0.625
Tgif1	Terc	-0.2257	0.5947
Dmrt1	Terf1	-0.1873	0.6496
Esx1	Terf1	-0.2726	0.5338
Foxa1	Terf1	0.1817	1.519
Foxg1	Terf1	-0.2449	0.5689
Jun	Terf1	-0.2124	0.6131
Klf4	Terf1	-0.2174	0.6061
Sox9	Terf1	-0.3552	0.4413
Tcf3	Terf1	-0.2623	0.5466
Nr5a2	Terf2	-0.1903	0.6452
Sox2	Terf2	0.1804	1.514
Cdx2	Terf2ip	0.2395	1.735
Esx1	Terf2ip	0.1972	1.574
Nkx2-5	Terf2ip	0.31	2.041
Dmrt1	Tert	-0.2544	0.5566
Sox9	Tert	-0.2294	0.5896
Ascl1	Tes	0.2101	1.622
Cdx2	Tes	0.6891	4.887
Cdyl2	Tes	-0.21	0.6165
Dmrt1	Tes	0.4244	2.657
Elf1	Tes	0.3792	2.394
Esx1	Tes	0.4459	2.791
Ets1	Tes	0.188	1.541
Foxc1	Tes	0.1835	1.525
Foxl2	Tes	0.459	2.877
Foxp3	Tes	0.2769	1.891
Nkx2-5	Tes	0.1986	1.579
Nr2f2	Tes	0.1832	1.524
Nrip1	Tes	0.3384	2.179
Sox11	Tes	0.2675	1.851
Sox9	Tes	0.7328	5.405
Tbx5	Tes	0.4085	2.561
Tcf3	Tes	0.2574	1.808
Zscan4c	Tes	0.1918	1.555
Ascl1	Tesc	-0.3789	0.4179
Ascl2	Tesc	-0.5068	0.3113
Cdx2	Tesc	0.3926	2.469
Dlx3	Tesc	0.7628	5.791
Dmrt1	Tesc	-0.3846	0.4124
Elf5	Tesc	-0.4843	0.3278
Eomes	Tesc	0.1883	1.542
Ets1	Tesc	-0.2281	0.5914
Foxa1	Tesc	0.633	4.295
Gbx2	Tesc	0.2855	1.929
Hnf4a	Tesc	-0.3356	0.4617
Hoxa2	Tesc	0.192	1.555
Hoxa9	Tesc	0.1955	1.568
Jun	Tesc	0.6327	4.292
Klf4	Tesc	0.7996	6.303
Klf9	Tesc	0.217	1.648
Myod1	Tesc	-0.2741	0.5319
Nkx2-5	Tesc	-0.5956	0.2537
Nrip1	Tesc	-0.2779	0.5273
Pou5f1	Tesc	-0.2495	0.5629
Rxra	Tesc	0.1979	1.577
Sfpi1	Tesc	-0.2601	0.5494
Sox11	Tesc	-0.236	0.5807
Sox2	Tesc	-0.31	0.4897
Sox9	Tesc	0.4715	2.961
Tgif1	Tesc	-0.2536	0.5576
Zscan4c	Tesc	-0.4057	0.3929
Esx1	Tesk1	0.3232	2.104
Foxg1	Tesk1	0.1825	1.522
Foxl2	Tesk1	0.3611	2.296
Jun	Tesk1	0.2655	1.842
Sfpi1	Tesk1	0.1844	1.528
Sox9	Tesk1	0.194	1.563
Tcf3	Tesk1	0.3186	2.082
Dlx3	Tesk2	-0.2309	0.5876
Gata2	Tesk2	-0.2758	0.5299
Gata3	Tesk2	-0.1949	0.6384
Klf4	Tesk2	-0.2356	0.5812
Sox2	Tesk2	0.3654	2.319
Sox9	Tesk2	0.2563	1.804
Tcf3	Tesk2	-0.255	0.5559
Nkx2-5	Tesp1	0.3169	2.074
Sox7	Tesp1	0.3295	2.135
Ascl1	Tessp2	-0.2462	0.5672
Ascl2	Tessp2	-0.2498	0.5626
Cdx2	Tessp2	-0.3797	0.4171
Dlx3	Tessp2	-0.2625	0.5463
Dmrt1	Tessp2	-0.4932	0.3212
Foxg1	Tessp2	-0.3495	0.4471
Gata2	Tessp2	-0.3039	0.4967
Hoxa9	Tessp2	0.1898	1.548
Jun	Tessp2	-0.2467	0.5666
Mef2c	Tessp2	-0.2253	0.5952
Mycn	Tessp2	0.1881	1.542
Myod1	Tessp2	-0.285	0.5188
Pou5f1	Tessp2	-0.2191	0.6038
Rxra	Tessp2	0.2007	1.587
Sox11	Tessp2	-0.4315	0.3702
Sox2	Tessp2	-0.2949	0.5071
Sox9	Tessp2	-0.3361	0.4612
Tcf3	Tessp2	-0.3521	0.4445
Ascl1	Tet1	-0.3022	0.4986
Cdx2	Tet1	-0.7688	0.1702
Dmrt1	Tet1	-0.4892	0.3241
Esx1	Tet1	-0.4274	0.3737
Foxg1	Tet1	-0.4596	0.347
Foxl2	Tet1	-0.2873	0.516
Gata2	Tet1	-0.5199	0.302
Gata3	Tet1	-0.2711	0.5356
Jun	Tet1	-0.4737	0.3359
Nkx2-5	Tet1	-0.2735	0.5327
Nrip1	Tet1	-0.2692	0.538
Pou5f1	Tet1	-0.2134	0.6117
Sox11	Tet1	-0.2418	0.573
Sox9	Tet1	-0.3674	0.4291
Tcf3	Tet1	-0.29	0.5128
Zic1	Tet1	-0.2293	0.5897
Zscan4c	Tet1	-0.1822	0.6573
Ascl1	Tet2	-0.4084	0.3904
Ascl2	Tet2	-0.2906	0.5121
Cdx2	Tet2	-0.6211	0.2392
Dmrt1	Tet2	-1.027	0.0939
Elf1	Tet2	-0.2083	0.619
Eomes	Tet2	-0.4351	0.3671
Esx1	Tet2	-0.5705	0.2688
Foxc1	Tet2	-0.2011	0.6293
Foxg1	Tet2	-0.4433	0.3603
Foxp3	Tet2	-0.2371	0.5792
Gata3	Tet2	0.3044	2.015
Jun	Tet2	-0.3803	0.4165
Klf4	Tet2	0.2062	1.607
Mef2c	Tet2	0.2677	1.852
Msc	Tet2	-0.333	0.4645
Nkx2-5	Tet2	-0.3414	0.4556
Nr0b1	Tet2	-0.3711	0.4255
Nr2f2	Tet2	-0.181	0.6591
Nrip1	Tet2	-0.6309	0.2339
Otx2	Tet2	-0.3269	0.471
Sox11	Tet2	-0.3219	0.4765
Sox2	Tet2	0.3841	2.421
Sox7	Tet2	0.2172	1.648
Sox9	Tet2	-0.3172	0.4817
Tcf3	Tet2	-0.5902	0.2569
Tcfap2c	Tet2	0.2605	1.821
Tgif1	Tet2	-0.312	0.4875
Zic1	Tet2	-0.3202	0.4784
Ascl2	Tet3	-0.3244	0.4738
Cdx2	Tet3	0.4583	2.872
Dmrt1	Tet3	0.5564	3.6
Foxa1	Tet3	0.1818	1.519
Foxg1	Tet3	0.5117	3.248
Foxl2	Tet3	0.3418	2.196
Jun	Tet3	0.4158	2.604
Klf4	Tet3	-0.4875	0.3254
Nr2f2	Tet3	-0.2104	0.616
Nr5a2	Tet3	0.177	1.503
Nrip1	Tet3	0.239	1.733
Otx2	Tet3	0.2187	1.654
Sfpi1	Tet3	0.1987	1.58
Sox2	Tet3	0.2589	1.815
Sox9	Tet3	0.3408	2.191
Tbx5	Tet3	-0.1785	0.6629
Tcf3	Tet3	0.4762	2.993
Tcfcp2l1	Tet3	-0.2269	0.593
Zscan4c	Tet3	-0.2209	0.6013
Cdx2	Tex10	-0.2194	0.6033
Dmrt1	Tex10	-0.1891	0.6469
Sox9	Tex10	-0.2133	0.6119
Dmrt1	Tex101	-0.4042	0.3942
Esx1	Tex101	0.2542	1.795
Foxl2	Tex101	0.1915	1.554
Gadd45a	Tex101	0.1821	1.52
Gata2	Tex101	0.2831	1.919
Gata3	Tex101	0.2417	1.744
Gbx2	Tex101	0.365	2.317
Klf4	Tex101	0.277	1.892
Nkx2-5	Tex101	0.3508	2.242
Nr2f2	Tex101	0.4121	2.582
Otx1	Tex101	0.1947	1.565
Otx2	Tex101	0.2595	1.817
Sox2	Tex101	-0.2763	0.5292
Sox9	Tex101	-0.1869	0.6502
Tcfap2c	Tex101	0.2654	1.842
Zscan4c	Tex101	0.2366	1.724
Cdx2	Tex11	0.2366	1.724
Gbx2	Tex11	0.1879	1.541
Myc	Tex11	-0.1896	0.6462
Nrip1	Tex11	-0.196	0.6367
Sox9	Tex11	0.213	1.633
Zscan4c	Tex11	0.1962	1.571
Gata2	Tex12	0.665	4.623
Gata3	Tex12	0.6185	4.154
Klf4	Tex12	0.5812	3.812
Cdx2	Tex13	0.3657	2.321
Dlx3	Tex13	0.3745	2.368
Esx1	Tex13	0.3889	2.448
Gata3	Tex13	0.2628	1.831
Gbx2	Tex13	0.3679	2.332
Klf4	Tex13	0.33	2.137
Otx2	Tex13	0.2509	1.781
Smad7	Tex13	-0.3777	0.419
Sox2	Tex13	0.2359	1.721
Tcf3	Tex13	0.2222	1.668
Zscan4c	Tex13	0.5101	3.236
Ascl1	Tex14	-0.2988	0.5025
Elf1	Tex14	-0.1854	0.6525
Elf5	Tex14	-0.1773	0.6648
Eomes	Tex14	-0.2619	0.5471
Esx1	Tex14	-0.2004	0.6303
Foxc1	Tex14	-0.1843	0.6541
Foxg1	Tex14	-0.2862	0.5173
Foxl2	Tex14	-0.2417	0.5731
Foxp3	Tex14	-0.2051	0.6235
Gata2	Tex14	-0.6401	0.229
Gata3	Tex14	-0.3318	0.4658
Klf4	Tex14	-0.4528	0.3525
Nr2f2	Tex14	-0.2215	0.6004
Nrip1	Tex14	-0.3911	0.4063
Rxra	Tex14	0.1809	1.516
Sfpi1	Tex14	-0.3666	0.4299
Sox11	Tex14	-0.4086	0.3903
Tcf3	Tex14	-0.462	0.3451
Eomes	Tex15	0.2869	1.935
Esx1	Tex15	0.4253	2.662
Fosl2	Tex15	-0.1813	0.6587
Foxl2	Tex15	0.4476	2.802
Gbx2	Tex15	0.1926	1.558
Jun	Tex15	-0.2212	0.6008
Klf3	Tex15	0.2046	1.601
Nkx2-5	Tex15	0.2951	1.972
Nr2f2	Tex15	0.4064	2.549
Nrip1	Tex15	0.1835	1.525
Sox11	Tex15	-0.2434	0.5709
Sox7	Tex15	0.2127	1.631
T	Tex15	0.259	1.815
Tbx5	Tex15	0.2657	1.843
Cdx2	Tex16	0.4703	2.953
Dmrt1	Tex16	0.34	2.187
Foxl2	Tex16	0.3746	2.369
Cdx2	Tex18	0.9778	9.501
Atf3	Tex19	-0.2005	0.6302
Cdx2	Tex19	0.2684	1.855
Gbx2	Tex19	0.2475	1.768
Klf4	Tex19	0.2363	1.723
Nr2f2	Tex19	0.1969	1.573
Nr5a2	Tex19	-0.2127	0.6127
Otx1	Tex19	0.2011	1.588
Cdx2	Tex2	0.1786	1.508
Esx1	Tex2	0.398	2.5
Gata2	Tex2	0.2985	1.988
Gata3	Tex2	0.2336	1.712
Nkx2-5	Tex2	0.2551	1.799
Ascl1	Tex21	0.1911	1.552
Cdx2	Tex21	-0.2234	0.5978
Dlx3	Tex21	-0.412	0.3872
Dmrt1	Tex21	-0.3379	0.4593
Esx1	Tex21	0.3329	2.152
Foxc1	Tex21	0.1939	1.562
Foxg1	Tex21	0.225	1.678
Foxl2	Tex21	0.3423	2.199
Foxp3	Tex21	0.2428	1.749
Gata2	Tex21	-0.3397	0.4574
Gata3	Tex21	-0.2939	0.5082
Gbx2	Tex21	0.345	2.213
Nkx2-5	Tex21	0.3278	2.127
Nr2f2	Tex21	0.2045	1.601
Sfpi1	Tex21	0.2745	1.881
Sox9	Tex21	-0.3445	0.4523
T	Tex21	0.4453	2.788
Tcf3	Tex21	-0.1762	0.6664
Tgif1	Tex21	0.233	1.71
Zscan4c	Tex21	-0.2603	0.5491
Cdx2	Tex24	-0.5333	0.2928
Dmrt1	Tex261	0.2285	1.692
Dlx3	Tex264	0.1763	1.5
Dmrt1	Tex264	0.198	1.577
Esx1	Tex264	0.3026	2.007
Foxa1	Tex264	0.3121	2.051
Foxg1	Tex264	-0.2387	0.5771
Foxl2	Tex264	0.245	1.757
Gata2	Tex264	0.3165	2.072
Gata3	Tex264	0.3587	2.284
Klf3	Tex264	-0.2026	0.6271
Nkx2-5	Tex264	0.2239	1.674
Tcf3	Tex264	0.1943	1.564
Dmrt1	Tex9	-0.2581	0.5519
Elf1	Tex9	-0.2309	0.5876
Sox9	Tex9	-0.3343	0.4631
Tcf3	Tex9	-0.3213	0.4771
Esx1	Tfam	-0.2067	0.6212
Gata2	Tfam	-0.1816	0.6582
Cdx2	Tfb1m	-0.1882	0.6483
Sox11	Tfb1m	-0.1789	0.6623
Tcf3	Tfb1m	-0.2289	0.5903
Cdx2	Tfb2m	-0.177	0.6652
Dmrt1	Tfb2m	-0.2504	0.5618
Tcf3	Tfb2m	-0.2386	0.5772
Dmrt1	Tfdp1	-0.1985	0.6331
Foxa1	Tfdp1	-0.1876	0.6492
Gata2	Tfdp1	-0.1869	0.6502
Klf4	Tfdp1	-0.2203	0.6021
Nkx2-5	Tfdp1	-0.1957	0.6372
Ascl2	Tfdp2	-0.1836	0.6552
Dlx3	Tfdp2	-0.3339	0.4635
Dmrt1	Tfdp2	-0.3475	0.4492
Eomes	Tfdp2	-0.2804	0.5243
Esx1	Tfdp2	-0.266	0.542
Ets1	Tfdp2	-0.1776	0.6643
Gata2	Tfdp2	-0.3866	0.4105
Gata3	Tfdp2	-0.2887	0.5143
Hnf4a	Tfdp2	-0.185	0.6531
Jun	Tfdp2	-0.2762	0.5294
Klf4	Tfdp2	-0.2455	0.5681
Nkx2-5	Tfdp2	-0.2604	0.549
Nr2f2	Tfdp2	-0.177	0.6652
Sox11	Tfdp2	-0.1991	0.6322
Sox9	Tfdp2	-0.4066	0.3921
Tcf3	Tfdp2	-0.3375	0.4597
Dmrt1	Tff1	0.2857	1.93
Foxa1	Tff1	0.4761	2.992
Jun	Tff1	0.3704	2.346
Foxa1	Tff2	0.652	4.487
Foxc1	Tff2	0.35	2.238
Foxl2	Tff2	0.4137	2.592
Klf4	Tff2	0.5558	3.595
Myod1	Tff2	0.3205	2.091
Ascl1	Tff3	-0.537	0.2904
Cdx2	Tff3	-0.6064	0.2475
Dlx3	Tff3	-0.5431	0.2863
Elf1	Tff3	-0.4862	0.3264
Elf5	Tff3	1.042	11.015
Eomes	Tff3	-0.3494	0.4473
Foxa1	Tff3	-0.2647	0.5436
Gata3	Tff3	-0.3665	0.43
Hesx1	Tff3	0.4399	2.753
Hnf4a	Tff3	0.778	5.997
Id1	Tff3	-0.7453	0.1797
Mef2c	Tff3	0.8199	6.605
Msc	Tff3	-0.4235	0.3771
Nr2f1	Tff3	0.7855	6.102
Pou5f1	Tff3	-0.4469	0.3573
Sall4	Tff3	0.745	5.559
Smad7	Tff3	0.5513	3.558
Sox15	Tff3	0.3564	2.271
Sox7	Tff3	0.3762	2.377
Sox9	Tff3	-0.6572	0.2201
Tcf3	Tff3	0.3934	2.474
Tcfcp2l1	Tff3	0.36	2.29
Bcl6	Tfpi	0.201	1.588
Cdx2	Tfpi	-0.4057	0.3929
Dlx3	Tfpi	0.4187	2.622
Eomes	Tfpi	0.3305	2.14
Foxc1	Tfpi	-0.3199	0.4787
Foxg1	Tfpi	-0.2095	0.6173
Foxp3	Tfpi	0.28	1.905
Gata2	Tfpi	0.2646	1.839
Gata3	Tfpi	0.2097	1.62
Nr2f2	Tfpi	0.1786	1.508
Otx2	Tfpi	-0.3134	0.4859
Pou5f1	Tfpi	-0.3028	0.4979
Rxra	Tfpi	0.2872	1.937
Sfpi1	Tfpi	-0.3524	0.4442
Sox2	Tfpi	0.7218	5.269
Sox7	Tfpi	0.291	1.954
Sox9	Tfpi	0.211	1.625
Elf1	Tfpi2	0.4814	3.029
Cdx2	Tfrc	-0.2458	0.5678
Dlx3	Tfrc	0.2241	1.675
Dmrt1	Tfrc	-0.265	0.5432
Gata2	Tfrc	-0.1916	0.6432
Gata3	Tfrc	-0.2266	0.5934
Cdx2	Tg	0.5635	3.66
Cdx2	Tgfa	0.309	2.037
Foxl2	Tgfa	0.2038	1.598
Jun	Tgfa	0.2509	1.781
Nkx2-5	Tgfa	0.333	2.152
Nrip1	Tgfa	0.3333	2.154
Otx2	Tgfa	0.3731	2.361
Sox2	Tgfa	0.3332	2.153
Sox9	Tgfa	0.8171	6.562
Tcf3	Tgfa	0.6252	4.218
Dmrt1	Tgfb1	0.3524	2.251
Elf1	Tgfb1	0.4827	3.038
Foxp3	Tgfb1	0.2553	1.8
Gata2	Tgfb1	-0.2042	0.6248
Tbx5	Tgfb1	0.27	1.862
Tcf3	Tgfb1	0.4871	3.069
Ascl1	Tgfb1i1	0.2984	1.987
Dmrt1	Tgfb1i1	0.5714	3.727
Esx1	Tgfb1i1	0.6355	4.32
Ets1	Tgfb1i1	0.2459	1.761
Foxc1	Tgfb1i1	0.4107	2.574
Foxg1	Tgfb1i1	0.4877	3.073
Foxl2	Tgfb1i1	0.5808	3.808
Foxp3	Tgfb1i1	0.2219	1.666
Myc	Tgfb1i1	-0.2914	0.5112
Myod1	Tgfb1i1	0.2947	1.971
Nkx2-5	Tgfb1i1	0.2751	1.884
Nrip1	Tgfb1i1	0.4826	3.038
Sall4	Tgfb1i1	-0.1865	0.6508
Sfpi1	Tgfb1i1	-0.2633	0.5453
Sox11	Tgfb1i1	0.2363	1.723
Sox9	Tgfb1i1	0.4501	2.819
Tbx5	Tgfb1i1	-0.309	0.4909
Tcf3	Tgfb1i1	0.8297	6.756
Tgif1	Tgfb1i1	-0.2063	0.6218
Zic1	Tgfb1i1	0.3401	2.188
Ascl1	Tgfb2	0.2826	1.916
Bcl6	Tgfb2	0.2339	1.713
Cdx2	Tgfb2	1.1018	12.641
Dmrt1	Tgfb2	-0.2581	0.5519
Dppa3	Tgfb2	0.1947	1.565
Esx1	Tgfb2	0.6934	4.936
Ets1	Tgfb2	0.1801	1.513
Foxa1	Tgfb2	0.5231	3.335
Foxc1	Tgfb2	0.4335	2.713
Foxg1	Tgfb2	0.2705	1.864
Foxl2	Tgfb2	0.2388	1.733
Foxp3	Tgfb2	0.2265	1.684
Hnf4a	Tgfb2	0.1987	1.58
Jun	Tgfb2	0.3455	2.215
Klf3	Tgfb2	0.3699	2.343
Klf9	Tgfb2	-0.1935	0.6404
Mef2c	Tgfb2	0.5995	3.976
Nr2f2	Tgfb2	0.4057	2.545
Nrip1	Tgfb2	0.4708	2.956
Nupr1	Tgfb2	0.2123	1.63
Smad6	Tgfb2	0.2127	1.631
Sox11	Tgfb2	0.3808	2.403
Sox15	Tgfb2	-0.2384	0.5775
Sox2	Tgfb2	0.3299	2.137
Sox9	Tgfb2	0.8882	7.73
T	Tgfb2	0.7194	5.24
Tcf3	Tgfb2	0.8696	7.406
Cdx2	Tgfb3	0.6665	4.639
Dmrt1	Tgfb3	0.5824	3.822
Irf2	Tgfb3	0.3024	2.006
Jun	Tgfb3	0.3579	2.279
Nkx2-5	Tgfb3	0.6931	4.932
Sox11	Tgfb3	0.2828	1.917
Sox9	Tgfb3	0.469	2.944
Tcf3	Tgfb3	0.3355	2.165
Bcl6	Tgfbi	-0.6266	0.2362
Elf1	Tgfbi	-0.3656	0.4309
Elf5	Tgfbi	-0.4059	0.3927
Esx1	Tgfbi	0.4783	3.008
Etv3	Tgfbi	0.2106	1.624
Foxa1	Tgfbi	-0.6254	0.2369
Foxc1	Tgfbi	0.2121	1.629
Foxg1	Tgfbi	0.1927	1.558
Foxl2	Tgfbi	0.4839	3.047
Foxp3	Tgfbi	-0.3193	0.4794
Gata3	Tgfbi	0.2188	1.655
Gbx2	Tgfbi	0.5127	3.256
Grhl2	Tgfbi	-0.2147	0.6099
Hesx1	Tgfbi	0.4417	2.765
Hnf4a	Tgfbi	0.3393	2.184
Hoxa2	Tgfbi	0.2259	1.682
Irf2	Tgfbi	0.2249	1.678
Jun	Tgfbi	0.8219	6.635
Klf3	Tgfbi	-0.2914	0.5112
Lhx2	Tgfbi	0.3272	2.124
Msc	Tgfbi	-0.1974	0.6347
Myc	Tgfbi	-0.4244	0.3763
Myod1	Tgfbi	-0.2591	0.5506
Nkx2-5	Tgfbi	-0.8033	0.1572
Nr2f1	Tgfbi	0.2574	1.808
Nr2f2	Tgfbi	0.1787	1.509
Nr5a2	Tgfbi	0.3503	2.24
Nrip1	Tgfbi	0.3705	2.346
Otx1	Tgfbi	-0.198	0.6338
Otx2	Tgfbi	-0.1864	0.651
Pou5f1	Tgfbi	-0.1841	0.6544
Rxra	Tgfbi	0.3496	2.236
Sfpi1	Tgfbi	0.3949	2.482
Smad7	Tgfbi	0.3143	2.062
Sox11	Tgfbi	-0.2698	0.5372
Sox2	Tgfbi	-0.62	0.2398
Sox7	Tgfbi	0.2997	1.993
T	Tgfbi	-0.4369	0.3656
Tcf3	Tgfbi	0.4346	2.72
Tcf4	Tgfbi	0.3672	2.329
Tcfcp2l1	Tgfbi	0.2245	1.676
Tcl1	Tgfbi	-0.3316	0.466
Tgif1	Tgfbi	0.1849	1.53
Zscan4c	Tgfbi	-0.4315	0.3702
Cdx2	Tgfbr1	0.2052	1.603
Gata2	Tgfbr1	-0.1963	0.6363
Klf4	Tgfbr1	-0.218	0.6053
Sox2	Tgfbr1	0.196	1.57
Cdx2	Tgfbr2	0.3551	2.265
Dmrt1	Tgfbr2	0.2496	1.776
Esx1	Tgfbr2	0.5875	3.868
Fosl2	Tgfbr2	0.2665	1.847
Foxc1	Tgfbr2	0.272	1.87
Foxl2	Tgfbr2	0.2899	1.949
Foxp3	Tgfbr2	0.287	1.936
Gata2	Tgfbr2	0.287	1.936
Gata3	Tgfbr2	0.413	2.588
Gbx2	Tgfbr2	0.1794	1.511
Jun	Tgfbr2	0.3232	2.104
Klf4	Tgfbr2	0.532	3.404
Nkx2-5	Tgfbr2	0.3359	2.167
Nr2f2	Tgfbr2	0.3409	2.192
Nrip1	Tgfbr2	0.5317	3.401
Sox9	Tgfbr2	0.7648	5.818
Tcf3	Tgfbr2	0.7455	5.565
Tgif1	Tgfbr2	-0.1931	0.641
Ascl1	Tgfbr3	0.4437	2.777
Cdx2	Tgfbr3	0.6294	4.259
Dlx3	Tgfbr3	0.2225	1.669
Dmrt1	Tgfbr3	0.6467	4.433
Eomes	Tgfbr3	0.6236	4.203
Esx1	Tgfbr3	0.2781	1.897
Foxl2	Tgfbr3	0.2185	1.653
Gata2	Tgfbr3	0.2943	1.969
Gata3	Tgfbr3	0.2934	1.965
Jun	Tgfbr3	0.2244	1.676
Klf3	Tgfbr3	0.3046	2.016
Klf4	Tgfbr3	0.2183	1.653
Nkx2-5	Tgfbr3	0.2067	1.609
Nr2f1	Tgfbr3	0.1941	1.563
Nr2f2	Tgfbr3	0.2891	1.945
Nrip1	Tgfbr3	0.2812	1.91
Otx2	Tgfbr3	0.327	2.123
Sfpi1	Tgfbr3	-0.2268	0.5931
Smad7	Tgfbr3	0.2722	1.871
Sox11	Tgfbr3	0.2384	1.731
Sox9	Tgfbr3	0.294	1.967
Tcf3	Tgfbr3	0.4132	2.589
Tcf4	Tgfbr3	0.2076	1.612
Tcfap2c	Tgfbr3	0.2012	1.589
Zic1	Tgfbr3	0.2366	1.724
Cdx2	Tgfbrap1	0.2116	1.627
Gata2	Tgfbrap1	0.26	1.819
Sox9	Tgfbrap1	0.1858	1.533
Dmrt1	Tgif1	-0.2534	0.5579
Gata2	Tgif1	-0.4401	0.3629
Gata3	Tgif1	-0.2575	0.5527
Nkx2-5	Tgif1	-0.2619	0.5471
Tcf3	Tgif1	-0.2186	0.6045
Tgif1	Tgif1	-0.2709	0.5359
Ascl1	Tgm1	-0.4212	0.3791
Cdx2	Tgm1	-0.7677	0.1707
Dlx3	Tgm1	0.2827	1.917
Dmrt1	Tgm1	-0.3832	0.4138
